Tanggal,Uang Beredar Luas(M2),Uang Beredar Sempit (M1),Uang Kartal di Luar Bank Umum dan BPR,Simpanan Giro Rupiah,Uang Kuasi,Simpanan Berjangka,Rupiah,Valuta Asing,Tabungan,Rupiah,Valuta Asing,Simpanan Giro Valuta asing,Surat Berharga Selain Saham,Faktor-faktor Yang Mempengaruhi Uang beredar,Aktiva Luar negeri Bersih,Tagihan Kepada Bukan Penduduk,Kewajiban Kepada Bukan Penduduk,Aktiva Dalam Negeri Bersih,Tagihan Bersih kepada Pemerintah Pusat,Tagihan Kepada Pemerintah Pusat,Kewajiban Kepada Pemerintah Pusat,Tagihan Kepada sektor lainnya,Tagihan Kepada Lembaga keuangan Lainnya,Pinjaman yang Diberikan 2),Tagihan Lainnya,Tagihan Kepada Pemerintah Daerah,Pinjaman yang Diberikan 2),Tagihan Lainnya,Tagihan Kepada Perusahaan Bukan keuangan BUMN,Pinjaman yang Diberikan 2),Tagihan Lainnya,Tagihan Kepada Sektor Swasta,Pinjaman yang Diberikan 2),Tagihan Lainnya,Simpanan dan Surat Berharga yang tidak termasuk Uang Beredar,Simpanan,Surat Berharga,Kewajiban Lainnya kepada Lembaga Keuangan,Saham dan Modal lainnya,Lainnya Bersih 3)
01/01/2012,2.857.127,696.281,286.200,410.082,2.147.437,1.136.127,994.956,141.171,850.050,791.737,58.314,161.260,13.409,2.857.127,934.112,1.156.298,222.186,1.923.015,322.216,510.617,188.401,2.375.914,167.930,128.927,39.003,979,974,5,104.833,92.944,11.889,2.102.172,1.993.074,109.098,-184.261,-181.332,-2.929,-26.058,-552.060,-12.736
01/02/2012,2.852.005,683.208,280.058,403.150,2.153.062,1.145.613,999.990,145.623,850.388,793.181,57.207,157.061,15.735,2.852.005,942.113,1.166.546,224.433,1.909.892,296.137,524.611,228.474,2.404.608,173.804,135.255,38.549,1.440,1.435,5,94.820,82.445,12.375,2.134.544,2.017.158,117.387,-184.218,-181.321,-2.897,-24.223,-573.645,-8.767
01/03/2012,2.914.194,714.215,287.003,427.212,2.185.208,1.172.080,1.023.430,148.649,854.144,795.268,58.876,158.984,14.771,2.914.194,926.120,1.151.445,225.325,1.988.074,297.108,521.840,224.732,2.465.721,170.728,131.954,38.774,1.439,1.434,5,108.409,93.547,14.861,2.185.146,2.073.198,111.948,-186.299,-183.231,-3.068,-26.017,-565.851,3.412
01/04/2012,2.929.610,720.876,290.812,430.064,2.193.285,1.170.735,1.022.250,148.486,867.274,808.319,58.955,155.275,15.450,2.929.610,963.364,1.188.695,225.331,1.966.246,243.123,532.103,288.980,2.521.274,174.827,135.112,39.715,1.403,1.397,5,118.085,102.457,15.629,2.226.960,2.113.133,113.826,-188.392,-185.556,-2.836,-24.991,-574.451,-10.317
01/05/2012,2.994.474,749.403,294.722,454.682,2.229.990,1.187.859,1.028.673,159.186,874.615,816.477,58.138,167.516,15.081,2.994.474,971.114,1.202.588,231.473,2.023.360,240.053,534.394,294.340,2.588.242,177.733,136.289,41.444,1.367,1.362,5,123.511,108.184,15.327,2.285.631,2.174.662,110.969,-192.876,-190.189,-2.687,-27.061,-580.555,-4.444
01/06/2012,3.052.786,779.367,314.621,464.746,2.256.809,1.182.373,1.017.611,164.762,900.494,838.993,61.501,173.942,16.610,3.052.786,925.568,1.155.730,230.162,2.127.218,284.331,541.389,257.058,2.650.053,173.718,131.523,42.196,1.419,1.419,0,116.929,101.552,15.377,2.357.987,2.249.044,108.943,-201.571,-198.573,-2.998,-29.755,-597.796,21.956
01/07/2012,3.057.336,771.739,315.322,456.417,2.272.665,1.189.657,1.018.935,170.722,909.966,845.545,64.421,173.041,12.932,3.057.336,936.305,1.171.991,235.685,2.121.031,279.040,541.185,262.145,2.664.719,170.630,124.884,45.746,1.604,1.595,10,117.307,101.368,15.939,2.375.178,2.274.492,100.687,-206.443,-203.482,-2.960,-31.676,-623.880,39.270
01/08/2012,3.091.568,772.378,327.008,445.370,2.307.083,1.203.434,1.031.917,171.517,931.031,868.689,62.342,172.617,12.108,3.091.568,955.709,1.193.230,237.521,2.135.860,271.398,542.430,271.031,2.693.174,168.210,127.577,40.633,1.805,1.796,10,120.680,106.099,14.581,2.402.479,2.307.419,95.060,-205.578,-202.483,-3.095,-32.899,-635.421,45.186
01/09/2012,3.128.179,795.460,325.508,469.952,2.321.262,1.212.922,1.032.542,180.380,938.223,877.197,61.026,170.117,11.457,3.128.179,975.633,1.215.800,240.167,2.152.546,298.897,541.455,242.558,2.754.538,168.697,128.124,40.573,1.980,1.970,10,116.429,101.727,14.702,2.467.432,2.356.137,111.295,-227.964,-225.167,-2.797,-32.739,-662.722,22.536
01/10/2012,3.164.443,774.923,326.058,448.864,2.378.880,1.249.974,1.062.115,187.859,950.476,887.696,62.779,178.430,10.640,3.164.443,990.455,1.269.262,278.807,2.173.988,285.784,543.060,257.276,2.787.802,170.279,130.021,40.258,2.185,2.175,10,113.968,100.130,13.838,2.501.370,2.386.476,114.894,-217.704,-212.844,-4.860,-33.793,-671.221,23.120
