Tanggal,Uang Beredar Luas(M2),Uang Beredar Sempit (M1),Uang Kartal di Luar Bank Umum dan BPR,Simpanan Giro Rupiah,Uang Kuasi,Simpanan Berjangka,Rupiah,Valuta Asing,Tabungan,Rupiah,Valuta Asing,Simpanan Giro Valuta asing,Surat Berharga Selain Saham,Faktor-faktor Yang Mempengaruhi Uang beredar,Aktiva Luar negeri Bersih,Tagihan Kepada Bukan Penduduk,Kewajiban Kepada Bukan Penduduk,Aktiva Dalam Negeri Bersih,Tagihan Bersih kepada Pemerintah Pusat,Tagihan Kepada Pemerintah Pusat,Kewajiban Kepada Pemerintah Pusat,Tagihan Kepada sektor lainnya,Tagihan Kepada Lembaga keuangan Lainnya,Pinjaman yang Diberikan 2),Tagihan Lainnya,Tagihan Kepada Pemerintah Daerah,Pinjaman yang Diberikan 2),Tagihan Lainnya,Tagihan Kepada Perusahaan Bukan keuangan BUMN,Pinjaman yang Diberikan 2),Tagihan Lainnya,Tagihan Kepada Sektor Swasta,Pinjaman yang Diberikan 2),Tagihan Lainnya,Simpanan dan Surat Berharga yang tidak termasuk Uang Beredar,Simpanan,Surat Berharga,Kewajiban Lainnya kepada Lembaga Keuangan,Saham dan Modal lainnya,Lainnya Bersih 3)
01/01/2012,"2.857.127,00","696.281,00","286.200,00","410.082,00","2.147.437,00","1.136.127,00","994.956,00","141.171,00","850.050,00","791.737,00","58.314,00","161.260,00","13.409,00","2.857.127,00","934.112,00","1.156.298,00","222.186,00","1.923.015,00","322.216,00","510.617,00","188.401,00","2.375.914,00","167.930,00","128.927,00","39.003,00","979,00","974,00","5,00","104.833,00","92.944,00","11.889,00","2.102.172,00","1.993.074,00","109.098,00","-184.261,00","-181.332,00","-2.929,00","-26.058,00","-552.060,00","-12.736,00"
01/02/2012,"2.852.005,00","683.208,00","280.058,00","403.150,00","2.153.062,00","1.145.613,00","999.990,00","145.623,00","850.388,00","793.181,00","57.207,00","157.061,00","15.735,00","2.852.005,00","942.113,00","1.166.546,00","224.433,00","1.909.892,00","296.137,00","524.611,00","228.474,00","2.404.608,00","173.804,00","135.255,00","38.549,00","1.440,00","1.435,00","5,00","94.820,00","82.445,00","12.375,00","2.134.544,00","2.017.158,00","117.387,00","-184.218,00","-181.321,00","-2.897,00","-24.223,00","-573.645,00","-8.767,00"
01/03/2012,"2.914.194,00","714.215,00","287.003,00","427.212,00","2.185.208,00","1.172.080,00","1.023.430,00","148.649,00","854.144,00","795.268,00","58.876,00","158.984,00","14.771,00","2.914.194,00","926.120,00","1.151.445,00","225.325,00","1.988.074,00","297.108,00","521.840,00","224.732,00","2.465.721,00","170.728,00","131.954,00","38.774,00","1.439,00","1.434,00","5,00","108.409,00","93.547,00","14.861,00","2.185.146,00","2.073.198,00","111.948,00","-186.299,00","-183.231,00","-3.068,00","-26.017,00","-565.851,00","3.412,00"
01/04/2012,"2.929.610,00","720.876,00","290.812,00","430.064,00","2.193.285,00","1.170.735,00","1.022.250,00","148.486,00","867.274,00","808.319,00","58.955,00","155.275,00","15.450,00","2.929.610,00","963.364,00","1.188.695,00","225.331,00","1.966.246,00","243.123,00","532.103,00","288.980,00","2.521.274,00","174.827,00","135.112,00","39.715,00","1.403,00","1.397,00","5,00","118.085,00","102.457,00","15.629,00","2.226.960,00","2.113.133,00","113.826,00","-188.392,00","-185.556,00","-2.836,00","-24.991,00","-574.451,00","-10.317,00"
01/05/2012,"2.994.474,00","749.403,00","294.722,00","454.682,00","2.229.990,00","1.187.859,00","1.028.673,00","159.186,00","874.615,00","816.477,00","58.138,00","167.516,00","15.081,00","2.994.474,00","971.114,00","1.202.588,00","231.473,00","2.023.360,00","240.053,00","534.394,00","294.340,00","2.588.242,00","177.733,00","136.289,00","41.444,00","1.367,00","1.362,00","5,00","123.511,00","108.184,00","15.327,00","2.285.631,00","2.174.662,00","110.969,00","-192.876,00","-190.189,00","-2.687,00","-27.061,00","-580.555,00","-4.444,00"
01/06/2012,"3.052.786,00","779.367,00","314.621,00","464.746,00","2.256.809,00","1.182.373,00","1.017.611,00","164.762,00","900.494,00","838.993,00","61.501,00","173.942,00","16.610,00","3.052.786,00","925.568,00","1.155.730,00","230.162,00","2.127.218,00","284.331,00","541.389,00","257.058,00","2.650.053,00","173.718,00","131.523,00","42.196,00","1.419,00","1.419,00","0,00","116.929,00","101.552,00","15.377,00","2.357.987,00","2.249.044,00","108.943,00","-201.571,00","-198.573,00","-2.998,00","-29.755,00","-597.796,00","21.956,00"
01/07/2012,"3.057.336,00","771.739,00","315.322,00","456.417,00","2.272.665,00","1.189.657,00","1.018.935,00","170.722,00","909.966,00","845.545,00","64.421,00","173.041,00","12.932,00","3.057.336,00","936.305,00","1.171.991,00","235.685,00","2.121.031,00","279.040,00","541.185,00","262.145,00","2.664.719,00","170.630,00","124.884,00","45.746,00","1.604,00","1.595,00","10,00","117.307,00","101.368,00","15.939,00","2.375.178,00","2.274.492,00","100.687,00","-206.443,00","-203.482,00","-2.960,00","-31.676,00","-623.880,00","39.270,00"
01/08/2012,"3.091.568,00","772.378,00","327.008,00","445.370,00","2.307.083,00","1.203.434,00","1.031.917,00","171.517,00","931.031,00","868.689,00","62.342,00","172.617,00","12.108,00","3.091.568,00","955.709,00","1.193.230,00","237.521,00","2.135.860,00","271.398,00","542.430,00","271.031,00","2.693.174,00","168.210,00","127.577,00","40.633,00","1.805,00","1.796,00","10,00","120.680,00","106.099,00","14.581,00","2.402.479,00","2.307.419,00","95.060,00","-205.578,00","-202.483,00","-3.095,00","-32.899,00","-635.421,00","45.186,00"
01/09/2012,"3.128.179,00","795.460,00","325.508,00","469.952,00","2.321.262,00","1.212.922,00","1.032.542,00","180.380,00","938.223,00","877.197,00","61.026,00","170.117,00","11.457,00","3.128.179,00","975.633,00","1.215.800,00","240.167,00","2.152.546,00","298.897,00","541.455,00","242.558,00","2.754.538,00","168.697,00","128.124,00","40.573,00","1.980,00","1.970,00","10,00","116.429,00","101.727,00","14.702,00","2.467.432,00","2.356.137,00","111.295,00","-227.964,00","-225.167,00","-2.797,00","-32.739,00","-662.722,00","22.536,00"
01/10/2012,"3.164.443,00","774.923,00","326.058,00","448.864,00","2.378.880,00","1.249.974,00","1.062.115,00","187.859,00","950.476,00","887.696,00","62.779,00","178.430,00","10.640,00","3.164.443,00","990.455,00","1.269.262,00","278.807,00","2.173.988,00","285.784,00","543.060,00","257.276,00","2.787.802,00","170.279,00","130.021,00","40.258,00","2.185,00","2.175,00","10,00","113.968,00","100.130,00","13.838,00","2.501.370,00","2.386.476,00","114.894,00","-217.704,00","-212.844,00","-4.860,00","-33.793,00","-671.221,00","23.120,00"
01/11/2012,"3.207.908,00","801.345,00","327.011,00","474.334,00","2.396.157,00","1.250.851,00","1.060.673,00","190.178,00","965.140,00","903.317,00","61.823,00","180.166,00","10.406,00","3.207.908,00","989.138,00","1.274.245,00","285.107,00","2.218.770,00","313.325,00","537.380,00","224.056,00","2.830.066,00","168.895,00","128.297,00","40.598,00","2.367,00","2.358,00","10,00","157.969,00","143.308,00","14.661,00","2.500.834,00","2.390.820,00","110.014,00","-227.331,00","-221.822,00","-5.509,00","-33.776,00","-687.432,00","23.918,00"
01/12/2012,"3.307.508,00","841.652,00","361.897,00","479.755,00","2.455.435,00","1.245.869,00","1.068.361,00","177.508,00","1.027.226,00","963.799,00","63.426,00","182.341,00","10.420,00","3.307.508,00","965.442,00","1.270.701,00","305.259,00","2.342.066,00","389.827,00","530.898,00","141.072,00","2.917.452,00","174.952,00","132.531,00","42.422,00","2.790,00","2.780,00","10,00","158.383,00","143.506,00","14.877,00","2.581.327,00","2.462.988,00","118.339,00","-242.014,00","-235.073,00","-6.940,00","-34.333,00","-706.644,00","17.778,00"
01/01/2013,"3.268.789,00","787.860,00","326.829,00","461.031,00","2.470.101,00","1.254.777,00","1.081.162,00","173.616,00","1.017.242,00","949.035,00","68.207,00","198.081,00","10.829,00","3.268.789,00","960.233,00","1.264.490,00","304.257,00","2.308.556,00","378.366,00","531.819,00","153.453,00","2.894.235,00","171.978,00","131.470,00","40.508,00","2.360,00","2.350,00","10,00","166.767,00","151.264,00","15.503,00","2.553.130,00","2.436.729,00","116.401,00","-234.448,00","-228.002,00","-6.446,00","-33.883,00","-718.930,00","23.215,00"
01/02/2013,"3.280.420,00","786.549,00","321.483,00","465.065,00","2.483.011,00","1.269.784,00","1.100.028,00","169.755,00","1.008.885,00","939.958,00","68.926,00","204.343,00","10.861,00","3.280.420,00","937.714,00","1.244.468,00","306.754,00","2.342.707,00","361.337,00","534.141,00","172.804,00","2.924.875,00","183.450,00","139.971,00","43.479,00","2.781,00","2.771,00","10,00","163.916,00","148.192,00","15.724,00","2.574.729,00","2.461.785,00","112.945,00","-228.686,00","-222.184,00","-6.502,00","-34.762,00","-717.569,00","37.512,00"
01/03/2013,"3.322.529,00","810.055,00","331.169,00","478.886,00","2.500.342,00","1.307.970,00","1.125.587,00","182.383,00","1.001.530,00","931.522,00","70.008,00","190.841,00","12.132,00","3.322.529,00","947.362,00","1.262.012,00","314.650,00","2.375.167,00","366.902,00","538.981,00","172.079,00","2.973.874,00","184.127,00","141.864,00","42.263,00","2.931,00","2.921,00","10,00","167.033,00","151.807,00","15.226,00","2.619.784,00","2.508.299,00","111.485,00","-227.791,00","-221.521,00","-6.270,00","-37.206,00","-722.548,00","21.937,00"
01/04/2013,"3.360.928,00","832.213,00","324.333,00","507.880,00","2.515.813,00","1.311.611,00","1.133.237,00","178.375,00","1.013.533,00","943.164,00","70.369,00","190.669,00","12.902,00","3.360.928,00","940.165,00","1.268.623,00","328.458,00","2.420.763,00","341.302,00","539.986,00","198.684,00","3.028.028,00","185.849,00","143.814,00","42.034,00","3.162,00","3.131,00","31,00","180.698,00","168.083,00","12.615,00","2.658.320,00","2.545.486,00","112.834,00","-226.503,00","-221.182,00","-5.321,00","-37.354,00","-722.109,00","37.399,00"
01/05/2013,"3.426.305,00","822.876,00","334.033,00","488.843,00","2.588.094,00","1.352.649,00","1.156.744,00","195.905,00","1.018.746,00","947.661,00","71.085,00","216.699,00","15.335,00","3.426.305,00","935.590,00","1.260.176,00","324.586,00","2.490.715,00","322.822,00","542.660,00","219.837,00","3.109.337,00","194.762,00","151.536,00","43.226,00","3.321,00","3.291,00","31,00","180.050,00","164.915,00","15.136,00","2.731.204,00","2.605.301,00","125.903,00","-226.830,00","-221.733,00","-5.097,00","-37.066,00","-707.722,00","30.173,00"
01/06/2013,"3.413.379,00","858.499,00","347.146,00","511.353,00","2.543.285,00","1.314.787,00","1.116.098,00","198.689,00","1.023.014,00","951.112,00","71.902,00","205.484,00","11.594,00","3.413.379,00","833.821,00","1.163.052,00","329.231,00","2.579.558,00","330.871,00","543.838,00","212.967,00","3.180.790,00","197.895,00","155.649,00","42.246,00","3.543,00","3.512,00","31,00","181.353,00","166.016,00","15.338,00","2.797.999,00","2.673.817,00","124.182,00","-237.858,00","-227.293,00","-10.565,00","-37.580,00","-693.487,00","36.822,00"
01/07/2013,"3.506.574,00","879.986,00","383.932,00","496.054,00","2.608.175,00","1.345.494,00","1.135.139,00","210.355,00","1.051.632,00","978.912,00","72.720,00","211.049,00","18.413,00","3.506.574,00","849.697,00","1.203.064,00","353.366,00","2.656.876,00","377.080,00","560.029,00","182.949,00","3.235.593,00","200.918,00","158.608,00","42.310,00","3.711,00","3.683,00","28,00","180.893,00","165.465,00","15.428,00","2.850.071,00","2.734.273,00","115.798,00","-235.726,00","-232.838,00","-2.888,00","-39.691,00","-722.273,00","41.894,00"
01/08/2013,"3.502.420,00","855.783,00","359.417,00","496.365,00","2.625.946,00","1.353.141,00","1.131.948,00","221.193,00","1.053.226,00","978.509,00","74.717,00","219.578,00","20.691,00","3.502.420,00","879.470,00","1.250.549,00","371.079,00","2.622.950,00","340.332,00","564.043,00","223.711,00","3.285.901,00","203.690,00","161.112,00","42.577,00","3.856,00","3.828,00","28,00","184.270,00","168.264,00","16.006,00","2.894.085,00","2.773.514,00","120.571,00","-234.315,00","-231.601,00","-2.714,00","-41.402,00","-766.307,00","38.741,00"
01/09/2013,"3.584.081,00","867.715,00","360.079,00","507.636,00","2.691.972,00","1.381.793,00","1.148.985,00","232.808,00","1.069.407,00","988.932,00","80.475,00","240.772,00","24.394,00","3.584.081,00","972.111,00","1.362.325,00","390.214,00","2.611.969,00","342.433,00","570.754,00","228.321,00","3.382.500,00","207.982,00","162.846,00","45.136,00","4.075,00","4.048,00","27,00","196.176,00","180.003,00","16.173,00","2.974.266,00","2.845.893,00","128.374,00","-256.345,00","-253.625,00","-2.720,00","-43.728,00","-848.208,00","35.317,00"
01/10/2013,"3.576.869,00","856.171,00","363.797,00","492.374,00","2.697.734,00","1.387.322,00","1.168.285,00","219.037,00","1.069.539,00","988.402,00","81.137,00","240.872,00","22.965,00","3.576.869,00","955.881,00","1.331.948,00","376.067,00","2.620.988,00","337.225,00","572.707,00","235.482,00","3.387.423,00","208.980,00","162.631,00","46.349,00","4.271,00","4.244,00","27,00","191.054,00","175.432,00","15.622,00","2.983.117,00","2.854.927,00","128.191,00","-247.739,00","-245.703,00","-2.036,00","-42.630,00","-849.574,00","36.283,00"
01/11/2013,"3.616.049,00","870.412,00","375.780,00","494.632,00","2.720.945,00","1.379.904,00","1.171.478,00","208.427,00","1.082.743,00","999.948,00","82.795,00","258.298,00","24.692,00","3.616.049,00","987.759,00","1.396.959,00","409.200,00","2.628.290,00","353.755,00","581.698,00","227.943,00","3.454.934,00","213.253,00","167.118,00","46.135,00","4.428,00","4.402,00","27,00","196.401,00","180.475,00","15.926,00","3.040.852,00","2.898.110,00","142.742,00","-260.394,00","-258.161,00","-2.233,00","-45.314,00","-894.229,00","19.538,00"
